datetime,portfolio_value,cash,return
2021-01-29 09:30:00-05:00,100000.0,100000.0,
2021-01-29 10:30:00-05:00,100000.0,100000.0,0.0
2021-01-29 11:30:00-05:00,100000.0,100000.0,0.0
2021-01-29 12:30:00-05:00,100000.0,100000.0,0.0
2021-01-29 13:30:00-05:00,100000.0,100000.0,0.0
2021-01-29 14:30:00-05:00,100000.0,100000.0,0.0
2021-01-29 15:30:00-05:00,100000.0,100000.0,0.0
2021-01-29 16:30:00-05:00,100000.0,100000.0,0.0
2021-02-01 09:30:00-05:00,100000.0,100000.0,0.0
2021-02-01 10:30:00-05:00,100000.0,100000.0,0.0
2021-02-01 11:30:00-05:00,100000.0,100000.0,0.0
2021-02-01 12:30:00-05:00,100000.0,100000.0,0.0
2021-02-01 13:30:00-05:00,100000.0,100000.0,0.0
2021-02-01 14:30:00-05:00,100000.0,100000.0,0.0
2021-02-01 15:30:00-05:00,100000.0,100000.0,0.0
2021-02-01 16:30:00-05:00,100000.0,100000.0,0.0
2021-02-02 09:30:00-05:00,100000.0,100000.0,0.0
2021-02-02 10:30:00-05:00,100000.0,100000.0,0.0
2021-02-02 11:30:00-05:00,100000.0,100000.0,0.0
